,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,States,Counties
293,Farmville,10075,Valid,H4,56000.0,Fell,1934.0,35.55,-77.53333,"(35.55, -77.53333)",37.0,2439.0
295,Fayetteville,10079,Valid,H4,2360.0,Fell,1934.0,36.05,-94.16667,"(36.05, -94.16667)",15.0,70.0
297,Felix,10081,Valid,CO3.3,3200.0,Fell,1900.0,32.53333,-87.16667,"(32.53333, -87.16667)",29.0,1631.0
299,Ferguson,10088,Valid,OC,220.0,Fell,1889.0,36.1,-81.41667,"(36.1, -81.41667)",37.0,2331.0
301,Fisher,10107,Valid,L6,17600.0,Fell,1894.0,47.81667,-96.85,"(47.81667, -96.85)",1.0,385.0
302,Florence,10111,Valid,H3,3640.0,Fell,1922.0,30.83333,-97.76667,"(30.83333, -97.76667)",23.0,807.0
303,Forest City,10119,Valid,H5,152000.0,Fell,1890.0,43.25,-93.66667,"(43.25, -93.66667)",16.0,1785.0
305,Forksville,10123,Valid,L6,6067.0,Fell,1924.0,36.78333,-78.08333,"(36.78333, -78.08333)",40.0,2839.0
307,Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667,"(33.01667, -83.96667)",31.0,1470.0
309,Frankfort (stone),10177,Valid,Howardite,650.0,Fell,1868.0,34.48333,-87.83333,"(34.48333, -87.83333)",29.0,99.0
322,Garland,10861,Valid,Diogenite-pm,102.0,Fell,1950.0,41.68333,-112.13333,"(41.68333, -112.13333)",13.0,2985.0
362,Hamlet,11485,Valid,LL4,3710.0,Fell,1959.0,41.38333,-86.6,"(41.38333, -86.6)",35.0,1205.0
365,Harleton,11830,Valid,L6,8360.0,Fell,1961.0,32.675,-94.51167,"(32.675, -94.51167)",23.0,2025.0
366,Harrison County,11842,Valid,L6,680.0,Fell,1859.0,38.25,-86.16667,"(38.25, -86.16667)",35.0,1855.0
380,Holbrook,11894,Valid,L/LL6,220000.0,Fell,1912.0,34.9,-110.18333,"(34.9, -110.18333)",7.0,990.0
382,Homestead,11901,Valid,L5,230000.0,Fell,1875.0,41.8,-91.86667,"(41.8, -91.86667)",16.0,284.0
383,Honolulu,11904,Valid,L5,2420.0,Fell,1825.0,21.3,-157.86667,"(21.3, -157.86667)",4.0,1657.0
385,Hoxie,11915,Valid,OC,266.1,Fell,1963.0,39.35,-100.45,"(39.35, -100.45)",17.0,1293.0
398,Independence,12028,Valid,L6,880.0,Fell,1917.0,39.08333,-94.4,"(39.08333, -94.4)",18.0,525.0
422,Johnstown,12198,Valid,Diogenite,40300.0,Fell,1924.0,40.35,-104.9,"(40.35, -104.9)",9.0,1072.0
464,Kendleton,12275,Valid,L4,6937.0,Fell,1939.0,29.45,-96.0,"(29.45, -96.0)",23.0,3190.0
483,Kilbourn,12308,Valid,H5,772.0,Fell,1911.0,43.58333,-89.6,"(43.58333, -89.6)",41.0,2971.0
486,Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906.0,30.75,-95.95,"(30.75, -95.95)",23.0,2018.0
533,Leedey,12755,Valid,L6,51500.0,Fell,1943.0,35.88333,-99.33333,"(35.88333, -99.33333)",20.0,608.0
536,Leighton,12760,Valid,H5,877.0,Fell,1907.0,34.58333,-87.5,"(34.58333, -87.5)",29.0,1585.0
546,Little Piney,14664,Valid,L5,491.0,Fell,1839.0,37.91667,-92.08333,"(37.91667, -92.08333)",18.0,2171.0
550,Lorton,52843,Valid,L6,329.7,Fell,2010.0,38.70066,-77.21163,"(38.70066, -77.21163)",40.0,2770.0
552,Lost City,14711,Valid,H5,17000.0,Fell,1970.0,36.00833,-95.15,"(36.00833, -95.15)",20.0,2711.0
553,Louisville,14716,Valid,L6,1300.0,Fell,1977.0,38.25,-85.75,"(38.25, -85.75)",36.0,1327.0
557,Lumpkin,14753,Valid,L6,340.0,Fell,1869.0,32.03333,-84.76667,"(32.03333, -84.76667)",31.0,1567.0
575,Malaga,15393,Valid,OC,150.0,Fell,1933.0,32.21667,-104.0,"(32.21667, -104.0)",11.0,611.0
587,Mariaville,15419,Valid,Iron,340.0,Fell,1898.0,42.71667,-99.38333,"(42.71667, -99.38333)",19.0,471.0
591,Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847.0,41.9,-91.6,"(41.9, -91.6)",16.0,287.0
595,Maryville,15436,Valid,L6,1443.0,Fell,1983.0,35.8,-84.1,"(35.8, -84.1)",39.0,2740.0
620,Mifflin,52090,Valid,L5,3584.0,Fell,2010.0,42.9075,-90.36556,"(42.9075, -90.36556)",41.0,2996.0
626,Miller (Arkansas),16645,Valid,H5,16700.0,Fell,1930.0,35.4,-92.05,"(35.4, -92.05)",15.0,11.0
635,Modoc (1905),16711,Valid,L6,35000.0,Fell,1905.0,38.5,-101.1,"(38.5, -101.1)",17.0,1290.0
639,Monahans (1998),16719,Valid,H5,2587.0,Fell,1998.0,31.60833,-102.85833,"(31.60833, -102.85833)",23.0,2957.0
640,Monroe,16720,Valid,H4,8600.0,Fell,1849.0,35.25,-80.5,"(35.25, -80.5)",37.0,636.0
646,Moore County,16736,Valid,Eucrite-cm,1880.0,Fell,1913.0,35.41667,-79.38333,"(35.41667, -79.38333)",37.0,2431.0
663,Murray,16882,Valid,CM2,12600.0,Fell,1950.0,36.6,-88.1,"(36.6, -88.1)",36.0,237.0
674,Nanjemoy,16904,Valid,H6,7500.0,Fell,1825.0,38.41667,-77.16667,"(38.41667, -77.16667)",45.0,419.0
688,New Concord,16953,Valid,L6,230000.0,Fell,1860.0,40.0,-81.76667,"(40.0, -81.76667)",38.0,2615.0
690,New Orleans,16960,Valid,H5,19256.0,Fell,2003.0,29.94718,-90.10976,"(29.94718, -90.10976)",22.0,1667.0
702,Nobleborough,16984,Valid,Eucrite-pmict,2300.0,Fell,1823.0,44.08333,-69.48333,"(44.08333, -69.48333)",49.0,1683.0
703,Noblesville,16985,Valid,H4-6,483.7,Fell,1991.0,40.08528,-86.055,"(40.08528, -86.055)",35.0,2238.0
706,Norfork,16994,Valid,"Iron, IIIAB",1050.0,Fell,1918.0,36.21667,-92.26667,"(36.21667, -92.26667)",15.0,10.0
707,Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948.0,39.68333,-99.86667,"(39.68333, -99.86667)",17.0,1252.0
735,Orlando,34489,Valid,Eucrite,180.0,Fell,2004.0,28.5475,-81.36222,"(28.5475, -81.36222)",30.0,1078.0
741,Ottawa,18046,Valid,LL6,840.0,Fell,1896.0,38.6,-95.21667,"(38.6, -95.21667)",17.0,1947.0
752,Palahatchie,18073,Valid,OC,,Fell,1910.0,32.31667,-89.71667,"(32.31667, -89.71667)",32.0,503.0
755,Palmyra,18079,Valid,L3,135.0,Fell,1926.0,39.8,-91.5,"(39.8, -91.5)",18.0,2122.0
756,Palolo Valley,18082,Valid,H5,682.0,Fell,1949.0,21.3,-157.78333,"(21.3, -157.78333)",4.0,1657.0
760,Paragould,18101,Valid,LL5,408000.0,Fell,1930.0,36.06667,-90.5,"(36.06667, -90.5)",15.0,1023.0
763,Park Forest,18106,Valid,L5,18000.0,Fell,2003.0,41.48472,-87.67917,"(41.48472, -87.67917)",34.0,1863.0
